,Model,Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,ResNet50,0,0.6651323767503102,0.8239,0.5913922146073094,0.8559
1,ResNet50,1,0.5417559814646288,0.8639,0.5498974687854449,0.8665
2,ResNet50,2,0.5173985493445286,0.8709,0.5190018278249988,0.8715
3,ResNet50,3,0.4867424261901114,0.879,0.4929863896524464,0.8794
4,ResNet50,4,0.4879605697343747,0.8817,0.5707077929708693,0.8681
5,ResNet50,5,0.4600728355762031,0.8857,0.5424348060676345,0.8765
6,ResNet50,6,0.4423137475274227,0.8865,0.5830045125661073,0.8691
7,ResNet50,7,0.3446906034862277,0.9056,0.4329208882097844,0.895
8,ResNet50,8,0.3013088140264153,0.9123,0.4170634434730918,0.8954
9,ResNet50,9,0.2899258605970277,0.9155,0.4095723096529642,0.8957
10,ResNet50,10,0.2790836843710255,0.918,0.4005163552860419,0.8967
11,ResNet50,11,0.2710889253917116,0.9194,0.3895468315206192,0.8946
12,ResNet50,12,0.2723142022887865,0.9176,0.3781857527185369,0.897
13,ResNet50,13,0.2541479786388852,0.9199,0.3791669669747353,0.8969
14,ResNet50,14,0.2445948887271461,0.9212,0.3742235821264761,0.8963
15,ResNet50,15,0.2585743505707769,0.9174,0.37457551,0.8978
16,ResNet50,16,0.2399973775653375,0.9231,0.3737130470077197,0.8978
17,ResNet50,17,0.247396366585184,0.9239,0.3729024827369937,0.8987
18,ResNet50,18,0.2420953372148452,0.9225,0.3717007872958978,0.8991
19,ResNet50,19,0.2436208121285394,0.9245,0.3709080955717299,0.8987
20,MobileNetV3,0,0.5525083509639458,0.8189,0.4140900356239743,0.8622
21,MobileNetV3,1,0.4177687443627251,0.857,0.3893768020470937,0.868
22,MobileNetV3,2,0.3961161088833102,0.8658,0.3590828673927872,0.8796
23,MobileNetV3,3,0.3772337946737254,0.8728,0.3661837335427602,0.8731
24,MobileNetV3,4,0.3651367518636915,0.8748,0.3517385469984125,0.8813
25,MobileNetV3,5,0.3597750769500379,0.8761,0.3547638780099374,0.8774
26,MobileNetV3,6,0.3510565668344497,0.8783,0.347774374573319,0.8826
27,MobileNetV3,7,0.3344243878236523,0.8846,0.3323143148863757,0.8878
28,MobileNetV3,8,0.3269499442202073,0.8871,0.3304175711561132,0.887
29,MobileNetV3,9,0.3247918760114246,0.8866,0.3291209174085546,0.8883
30,MobileNetV3,10,0.3288898764274738,0.8856,0.3283651432726118,0.8876
31,MobileNetV3,11,0.3217845201657878,0.8888,0.3285564284412949,0.888
32,MobileNetV3,12,0.3276882702829661,0.8884,0.330994247,0.888
33,MobileNetV3,13,0.3226458152797487,0.8886,0.3284954343018708,0.8904
34,MobileNetV3,14,0.3231565310612873,0.8897,0.3273453981125796,0.8893
35,MobileNetV3,15,0.3232698541327759,0.8889,0.3271460167125419,0.8893
36,MobileNetV3,16,0.3190885796149572,0.8909,0.3273978536658817,0.8896
37,MobileNetV3,17,0.32608698,0.886,0.3271678786366074,0.8893
38,MobileNetV3,18,0.3204925983261179,0.8891,0.3272414390246073,0.8891
39,MobileNetV3,19,0.3278449305119338,0.8876,0.327167103,0.8889
40,GoogLeNet,0,0.6632061071638707,0.7888,0.5937188356452519,0.8133
41,GoogLeNet,1,0.5688638285575089,0.8242,0.493759817,0.8387
42,GoogLeNet,2,0.5456011910570993,0.8348,0.4884805772039625,0.8448
43,GoogLeNet,3,0.5254025243829797,0.8392,0.5047741148648439,0.8394
44,GoogLeNet,4,0.5208239762926543,0.8401,0.475894919,0.8465
45,GoogLeNet,5,0.5370226063882864,0.8395,0.6069829859998491,0.83
46,GoogLeNet,6,0.5091022812989023,0.8452,0.5399157470243948,0.8383
47,GoogLeNet,7,0.4173950476006225,0.867,0.406829160451889,0.8669
48,GoogLeNet,8,0.3970727712247107,0.8713,0.3937146751085917,0.8698
49,GoogLeNet,9,0.3824530722807955,0.8738,0.390475404,0.8706
50,GoogLeNet,10,0.379873927,0.8726,0.390923995,0.8719
51,GoogLeNet,11,0.3850525368308579,0.8703,0.3838259085019429,0.8698
52,GoogLeNet,12,0.3751037830445501,0.8742,0.386279529,0.8693
53,GoogLeNet,13,0.3738279929315602,0.8727,0.384064380482391,0.8693
54,GoogLeNet,14,0.3605647081798977,0.879,0.3805843034938529,0.8709
55,GoogLeNet,15,0.3684846256673336,0.8737,0.3779121556988469,0.8731
56,GoogLeNet,16,0.3707572236326005,0.8741,0.3765666887053737,0.8728
57,GoogLeNet,17,0.3677945816848013,0.8765,0.3762698965160935,0.8722
58,GoogLeNet,18,0.3673751630496096,0.8765,0.3764947292539808,0.8724
59,GoogLeNet,19,0.3578569834431012,0.8787,0.3771066253052817,0.872
